,Symbol,Company,Ongoing/ One-time,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Amount transferred to Unspent CSR Account for the project (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village),Category
233,AFFLE,AFFLE (INDIA) LTD.,One-time,COVID-19 EMERGENCY RESPONSE,"SPENDING OF CSR FUNDS FOR CREATING HEALTH INFRASTRUCTURE FOR COVID-19 CARE, ESTABLISHMENT OF MEDICAL OXYGEN","SCHEDULE VII (I), SCHEDULE VII (XII)",,15.0,,,,HEMKUNT FOUNDATION,15.0,DELHI (DELHI/ NCR),Medical and Health
234,AFFLE,AFFLE (INDIA) LTD.,One-time,COVID-19 EMERGENCY RESPONSE,SPENDING OF CSR FUNDS FOR COVID-19,SCHEDULE VII (XII),,20.0,,,,GOONJ FOUNDATION,20.0,DELHI (DELHI/ NCR),Medical and Health
235,AFFLE,AFFLE (INDIA) LTD.,One-time,COVID-19 EMERGENCY RESPONSE,SPENDING OF CSR FUNDS FOR COVID-19,SCHEDULE VII (XII),,20.0,,,,KAUSHALYA FOUNDATION,20.0,DELHI (DELHI/ NCR),Medical and Health
236,AFFLE,AFFLE (INDIA) LTD.,One-time,COVID-19 EMERGENCY RESPONSE,SPENDING OF CSR FUNDS FOR CREATING HEALTH INFRASTRUCTURE FOR COVID-19 CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,20.0,,,,INDIA CARES FOUNDATION,20.0,DELHI (DELHI/ NCR),Medical and Health
237,AGARIND,AGARWAL INDUSTRIAL CORP.LTD.,One-time,DISTRIBUTION OF FOOD PACKETS,ERADICATING HUNGER,SCHEDULE VII (I),,3.85,,,3.85,,,,Medical and Health
238,AGARIND,AGARWAL INDUSTRIAL CORP.LTD.,One-time,HEALTH CARE,MEDITATION & SOCIAL WELFARE,SCHEDULE VII (I),,3.51,,,,VIPASANA SADHANA SAMITI,3.51,,Medical and Health
239,AGARIND,AGARWAL INDUSTRIAL CORP.LTD.,One-time,DONATION OF SANITIZER,PROMOTION OF HEALTH & EDUCATION,"SCHEDULE VII (I), SCHEDULE VII (II)",,7.44,,,7.44,,,,Medical and Health
240,AGARIND,AGARWAL INDUSTRIAL CORP.LTD.,One-time,DONATION OF MASK,PROMOTION OF HEALTH & EDUCATION,"SCHEDULE VII (I), SCHEDULE VII (II)",,9.98,,,9.98,,,,Medical and Health
241,AGARIND,AGARWAL INDUSTRIAL CORP.LTD.,One-time,ORPHANAGE/ OLD AGE HOMES/ DESTITUTE PERSONS,ENGAGED IN CHILD AND OLD AGE PEOPLE WELFARE,SCHEDULE VII (III),,0.12,,,,NAVJEEVAN SANSTHAN,0.12,,Medical and Health
242,AGARIND,AGARWAL INDUSTRIAL CORP.LTD.,One-time,OXYGEN PLANT,PROMOTION OF HEALTH & EDUCATION,"SCHEDULE VII (I), SCHEDULE VII (II)",,2.51,,AGARWAL WELFARE SOCIETY,2.51,,,,Medical and Health
244,AGI,AGI GREENPAC LTD.,One-time,CONTRIBUTION FOR CONDUCTING MOBILE HEALTH CAMPS,CLAUSE NO. (I) PROMOTING HEALTH CARE INCLUDING,SCHEDULE VII (I),,13.2,,,,HSIL CORPORATE SOCIAL RESPONSIBILITY FOUNDATION,13.2,"HARYANA (BHADURGARH),RAJASTHAN (KAHARANI)",Medical and Health
247,AGI,AGI GREENPAC LTD.,One-time,SWASTHA SAMPADA (HEALTH CARE),CLAUSE NO. (I) PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE.,SCHEDULE VII (I),,3.51,,,,HSIL CORPORATE SOCIAL RESPONSIBILITY FOUNDATION,3.51,HARYANA (JHAJJAR),Medical and Health
249,AGI,AGI GREENPAC LTD.,One-time,SWASTHA SAMPADA (HEALTH CARE),CLAUSE NO. (I) PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE.,SCHEDULE VII (I),,3.12,,,,HSIL CORPORATE SOCIAL RESPONSIBILITY FOUNDATION,3.12,"RAJASTHAN (BHIWADI,KAHARANI)",Medical and Health
251,AGI,AGI GREENPAC LTD.,One-time,CONTRIBUTION FOR PROVIDING AMBULANCE VAN,CLAUSE NO. (I) PROMOTING HEALTH CARE INCLUDING,SCHEDULE VII (I),,14.31,,,,HSIL CORPORATE SOCIAL RESPONSIBILITY FOUNDATION,14.31,TELANGANA (SANGAREDDY),Medical and Health
252,AGI,AGI GREENPAC LTD.,One-time,SWASTHA SAMPADA (HEALTH CARE),CLAUSE NO. (I) PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE.,SCHEDULE VII (I),,11.3,,,,HSIL CORPORATE SOCIAL RESPONSIBILITY FOUNDATION,11.3,"TELANGANA (BHONGIR,NALGONDA)",Medical and Health
253,AGI,AGI GREENPAC LTD.,One-time,SWASTHA SAMPADA (HEALTH CARE),CLAUSE NO. (I) PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE.,SCHEDULE VII (I),,24.55,,,,HSIL CORPORATE SOCIAL RESPONSIBILITY FOUNDATION,24.55,"TELANGANA (BIBINAGAR,NALGONDA)",Medical and Health
254,AGI,AGI GREENPAC LTD.,One-time,CONTRIBUTION FOR PREVENTION & RELIEF MEASURES FOR COVID-19,CLAUSE NO. (I) PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE.,"SCHEDULE VII (I), SCHEDULE VII (XII)",,30.0,,,,HSIL CORPORATE SOCIAL RESPONSIBILITY FOUNDATION,30.0,"TELANGANA (BIBINAGAR,NALGONDA)",Medical and Health
256,AHLADA,AHLADA ENGINEERS LTD.,One-time,FINANCIAL ASSISTANCE TO POOR AND NEEDY TO EDUCATION AND HEALTH,PROMOTING EDUCATION AND HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (II)",,5.0,,,,HELP DESK TRUST,5.0,TELANGANA,Medical and Health
260,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,One-time,SANTHIGIRI PREVENTIVE HEALTH CARE RESEARCH CENTRE,"I, II AND III","SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III)",,3.55,,,,SANTHIGIRI PREVENTIVE HEALTH CARE RESEARCH CENTRE,3.55,DELHI,Medical and Health
262,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Ongoing,SANTHIGIRI PREVENTIVE HEALTH CARE RESEARCH CENTRE,"I, II AND III","SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III)",31.45,31.45,,,,"SANTHIGIRI ASHRAM, NEW DELHI",31.45,DELHI,Medical and Health
269,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR ERADICATING HUNGER,CL. (I) - ERADICATING HUNGER,SCHEDULE VII (I),,21.0,,,,HUMAN WELFARE TRUST,21.0,GUJARAT (AHMEDABAD),Medical and Health
272,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR FREE NUTRITIOUS MID-DAY MEALS TO UNDER PRIVILEGED CHILDREN AND FOR FREE DISTRIBUTION OF HAPPINESS KITS,CL. (I) - ERADICATING HUNGER,SCHEDULE VII (I),,10.0,,,,"AKSHAYA PATRA FOUNDATION,THE",10.0,GUJARAT (AHMEDABAD),Medical and Health
273,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR COVID RELIEF WORKS,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,11.0,,,,GUJARAT CHAMBER FOUNDATION,11.0,GUJARAT (AHMEDABAD),Medical and Health
275,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR MEDICAL ASSISTANCE IN THE FORM OF MEDICINES,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,12.0,,,,NIHAR CHARITABLE TRUST,12.0,GUJARAT (AHMEDABAD),Medical and Health
277,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR MEDICAL ASSISTANCE,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,5.0,,,,SHRI MAHESH SEVA SANGH,5.0,GUJARAT (AHMEDABAD),Medical and Health
280,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR HEALTH CARE ACTIVITIES,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,15.0,,,,SADVICHAR PARIVAR,15.0,GUJARAT (AHMEDABAD),Medical and Health
284,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR MEDICAL ASSISTANCE TO UNDER PRIVILEGED PATIENTS,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,15.0,,,,VITHALDAS TULSIDAS CHARITY TRUST,15.0,GUJARAT (NADIAD),Medical and Health
285,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR PURCHASE OF VENTILATORS FOR COVID PATIENTS,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,13.44,,,,INDRAJIT CHIMANLAL SHAH CHARITABLE TRUST,13.44,GUJARAT (AHMEDABAD),Medical and Health
288,AIAENG,AIA ENGINEERING LTD.,One-time,PLANTATION OF TREES AND RECLAMATION OF LAND,CL. (IV) - PROTECTION OF ENVIRONMENT & ANIMAL WELFARE,SCHEDULE VII (IV),,191.92,,AIA CSR FOUNDATION,191.92,,,"GUJARAT (AHMEDABAD,GANDHINAGAR,VADODARA)",Medical and Health
289,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR PPE KITS AND DISTRIBUTION OF OXYGEN CONCENTRATOR,CL. (I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,46.22,,DHANVANTRI COVID HOSPITAL,46.22,,,GUJARAT (AHMEDABAD),Medical and Health
290,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR VARIOUS MEDICAL TREATMENT TO THE UNDER PRIVILEGED PEOPLE,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,11.0,,,,KANORIA SEVA KENDRA,11.0,GUJARAT (GANDHINAGAR),Medical and Health
292,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR VARIOUS MEDICAL TREATMENT TO THE DEPRIVED CLASS OF PEOPLE,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,30.0,,,,HEALTH & CARE FOUNDATION,30.0,GUJARAT (AHMEDABAD),Medical and Health
293,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION GIVEN FOR COVID RELIEF WORK,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,17.5,,,,TULSI VALLABH NIDHI TRUST,17.5,GUJARAT (AHMEDABAD),Medical and Health
294,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR MEDICAL CAMP,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,40.0,,,,GCS MEDICAL COLLEGE HOSPITAL & RESEARCH CENTRE,40.0,GUJARAT (AHMEDABAD),Medical and Health
297,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR COVID 19 RELIEF AND REHABILITATION INITIATIVE,CL. (I) - PREVENTION & PROMOTING HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,3.0,,,,CII FOUNDATION,3.0,DELHI (NEW DELHI),Medical and Health
298,AIAENG,AIA ENGINEERING LTD.,One-time,CONTRIBUTION FOR HEALTH CARE ACTIVITIES,CL.(I) - PREVENTION & PROMOTING HEALTH CARE,SCHEDULE VII (I),,21.0,,,,SANJIVANI HEALTH & RELIEF COMMITTEE,21.0,GUJARAT (AHMEDABAD),Medical and Health
304,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER,PROMOTING SOCIALLY & ECONOMICALLY BACKWARD GROUPS,"SCHEDULE VII (I), SCHEDULE VII (III)",,0.46,,,,SADVICHAR PARIVAR,0.46,GUJARAT (HIMMATNAGAR),Medical and Health
305,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER & PROVIDING SHELTER TO NEEDY,PROMOTING SOCIALLY & ECONOMICALLY BACKWARD GROUPS,"SCHEDULE VII (I), SCHEDULE VII (III)",,0.01,,,,BABA RAMDEV MANDIR,0.01,GUJARAT (AHMEDABAD),Medical and Health
306,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR SHELTER TO NEEDY WOMEN,PROMOTING SOCIALLY & ECONOMICALLY BACKWARD GROUPS,SCHEDULE VII (III),,2.0,,,,SABARKANTHA CHARITABLE TRUST,2.0,GUJARAT (HIMMATNAGAR),Medical and Health
308,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER,RURAL DEVELOPMENT PROJECTS,"SCHEDULE VII (I), SCHEDULE VII (X)",,0.9,,,,SAHYOG KUSHTHA YAGNA TRUST,0.9,GUJARAT (HIMMATNAGAR),Medical and Health
309,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER,RURAL DEVELOPMENT PROJECTS,"SCHEDULE VII (I), SCHEDULE VII (X)",,0.11,,,,KAMLESH VISHWAKARMA,0.11,GUJARAT (AHMEDABAD),Medical and Health
310,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER,RURAL DEVELOPMENT PROJECTS,"SCHEDULE VII (I), SCHEDULE VII (X)",,3.5,,,,KADVA PATIDAR KULDEVI SHRI UMIYA MATAJI SANSTHAN,3.5,GUJARAT (HIMMATNAGAR),Medical and Health
311,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER & PROVIDING SHELTER TO NEEDY,PROMOTING SOCIALLY & ECONOMICALLY BACKWARD GROUPS,"SCHEDULE VII (I), SCHEDULE VII (III)",,0.11,,,,"AKSHAYA PATRA FOUNDATION,THE",0.11,GUJARAT (AHMEDABAD),Medical and Health
312,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER & PROVIDING SHELTER TO NEEDY,PROMOTING SOCIALLY & ECONOMICALLY BACKWARD GROUPS,"SCHEDULE VII (I), SCHEDULE VII (III)",,0.01,,,,MOTHER KRISHNA CHARITABLE TRUST,0.01,GUJARAT (AHMEDABAD),Medical and Health
313,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR HEALTH CARE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,1.0,,,,ANJALI SOCIETY FOR RURAL HEALTH & DEVELOPMENT,1.0,GUJARAT (HIMMATNAGAR),Medical and Health
314,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER & PROVIDING SHELTER TO NEEDY,PROMOTING SOCIALLY & ECONOMICALLY BACKWARD GROUPS,"SCHEDULE VII (I), SCHEDULE VII (III)",,0.01,,,,MAHANT SHREE RAMSHARANDAS JI GAUSHALA TRUST,0.01,GUJARAT (AHMEDABAD),Medical and Health
315,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR HEALTH CARE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,11.0,,,,GYAN MANDAL LAXMIPURA GROUP PRERIT AROGYA MANDAL,11.0,GUJARAT (HIMMATNAGAR),Medical and Health
316,AIROLAM,AIRO LAM LTD.,One-time,SUPPORT FOR ERADICATING HUNGER & PROVIDING SHELTER TO NEEDY,PROMOTING SOCIALLY & ECONOMICALLY BACKWARD GROUPS,"SCHEDULE VII (I), SCHEDULE VII (III)",,0.03,,,,NARAYAN GAU SEVA SANSTHA,0.03,GUJARAT (AHMEDABAD),Medical and Health
320,AJANTPHARM,AJANTA PHARMA LTD.,One-time,"ERADICATING HUNGER, POVERTY & MALNUTRITION FOR DIFFERENTLY ABLED PEOPLE",(I),SCHEDULE VII (I),,75.0,,,,OMKAR ANDH-APANG SAMAJIK SANSTHA,75.0,"MAHARASHTRA (MUMBAI,THANE)",Medical and Health
321,AJANTPHARM,AJANTA PHARMA LTD.,One-time,COVID VACCINATION DRIVE,(I),"SCHEDULE VII (I), SCHEDULE VII (XII)",,100.0,,,,SURANA CHARITABLE TRUST,100.0,MAHARASHTRA (MUMBAI),Medical and Health
322,AJANTPHARM,AJANTA PHARMA LTD.,One-time,HEALTHCARE CAMPS FOR EYE AND FAMILY PLANNING,(I),SCHEDULE VII (I),,87.0,,,,SAMTA FOUNDATION,87.0,MAHARASHTRA,Medical and Health
323,AJANTPHARM,AJANTA PHARMA LTD.,One-time,EQUIPMENT FOR HOSPITAL,(I),SCHEDULE VII (I),,90.0,,,,PRAKASHCHAND JAIN BAHUDDESHIYA SANSTHA,90.0,MAHARASHTRA (JALGAON),Medical and Health
326,AJANTPHARM,AJANTA PHARMA LTD.,One-time,COVID VACCINATION DRIVE,(I),"SCHEDULE VII (I), SCHEDULE VII (XII)",,410.0,,,,SAMTA FOUNDATION,410.0,MAHARASHTRA,Medical and Health
327,AJANTPHARM,AJANTA PHARMA LTD.,One-time,EQUIPMENT FOR HOSPITAL,(I),SCHEDULE VII (I),,8.0,,AJANTA FOUNDATION,8.0,,,MAHARASHTRA (MUMBAI),Medical and Health
334,AJMERA,AJMERA REALTY & INFRA INDIA LTD.,Ongoing,MALNUTRITION PROGRAM,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),25.0,6.25,18.75,,,MAHAN TRUST,6.25,MAHARASHTRA (AMRAVATI),Medical and Health
339,AKSHOPTFBR,AKSH OPTIFIBRE LTD.,One-time,UPVAN PROMOTION OF GREENERY & TREE PLANTATION,"ENSURING ENVIRONMENTAL SUSTAINABILITY, ECOLOGICAL BALANCE, PROTECTION OF FLORA AND FAUNA, ANIMAL WELFARE, AGROFORESTRY AND MAINTAINING QUALITY OF SOIL, AIR AND WATER",SCHEDULE VII (IV),,0.68,,,0.68,,,RAJASTHAN (ALWAR),Medical and Health
340,AKSHARCHEM,AKSHARCHEM (INDIA) LTD.,One-time,PROMOTION OF HEALTH CARE,HEALTHCARE,SCHEDULE VII (I),,40.0,,,,HIGH ON LIFE FOUNDATION,40.0,GUJARAT (AHMEDABAD),Medical and Health
344,AKZOINDIA,AKZO NOBEL INDIA LTD.,One-time,AROGYA SAKHA,PROMOTING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,12.9,,,,TELERAD FOUNDATION,12.9,ALL STATES,Medical and Health
350,AKZOINDIA,AKZO NOBEL INDIA LTD.,One-time,COVID19 RELIEF PROJECT,FIGHT AGAINST COVID19,SCHEDULE VII (XII),,15.5,,,7.75,"SAKSHI,TELERAD FOUNDATION,PRIDE INDIA,THE",7.75,"HARYANA (GURGAON),KARNATAKA (BENGALURU RURAL),MAHARASHTRA (THANE)",Medical and Health
352,AKZOINDIA,AKZO NOBEL INDIA LTD.,One-time,COVID19 RELIEF PROJECT  HELPLINE FOR BLUE COLLARED WORK FORCE,FIGHT AGAINST COVID19,SCHEDULE VII (XII),,7.3,,,,TELERAD FOUNDATION,7.3,ALL STATES,Medical and Health
363,ALEMBICLTD,ALEMBIC LTD.,One-time,COVID RELIEF / PREVENTION ACTIVITIES (ACROSS INDIA),HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,23.09,,ALEMBIC CSR FOUNDATION,23.09,,,ALL STATES,Medical and Health
365,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,One-time,VACCINATION DRIVE,HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,21.0,,,21.0,,,GUJARAT (VADODARA),Medical and Health
370,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,One-time,COVID - 19 (EX-GRATIA TO CASUAL WORKERS),HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,29.0,,,29.0,,,"SIKKIM (NAMTHANG,SOUTH SIKKIM)",Medical and Health
382,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,One-time,MALNUTRITION,HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,30.0,,ALEMBIC CSR FOUNDATION,30.0,,,GUJARAT (PANCHMAHAL),Medical and Health
385,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,One-time,COVID RELIEF/PRE- VENTION ACTIVITIES (MASKS AND MEDICINAL SUPPORT),HEALTHCARE INCLUDING PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,1382.0,,ALEMBIC CSR FOUNDATION,1382.0,,,ALL STATES,Medical and Health
390,ALICON,ALICON CASTALLOY LTD.,One-time,WILDLIFE SOS,ANIMAL WELFARE,SCHEDULE VII (IV),1.14,1.14,,,1.14,,,,Medical and Health
392,ALKEM,ALKEM LABORATORIES LTD.,One-time,NUTRITION KITS FOR ANAEMIC & TB PATIENTS,HEALTHCARE,SCHEDULE VII (I),,3.0,,ALKEM FOUNDATION,3.0,,,"DADRA & NAGAR HAVELI AND DAMAN & DIU (DAMAN,SILVASSA),MAHARASHTRA",Medical and Health
393,ALKEM,ALKEM LABORATORIES LTD.,One-time,CRATES FOR COVID-19 HEALTHCARE PROJECT,HEALTHCARE,SCHEDULE VII (I),,,,ALKEM FOUNDATION,,,,MAHARASHTRA (NAVI MUMBAI),Medical and Health
394,ALKEM,ALKEM LABORATORIES LTD.,One-time,FOOD TO POOR PEOPLE,HEALTHCARE,SCHEDULE VII (I),,5.0,,ALKEM FOUNDATION,5.0,,,MAHARASHTRA (MUMBAI),Medical and Health
395,ALKEM,ALKEM LABORATORIES LTD.,One-time,FRUIT DISTRIBUTION AT TMH MUMBAI,HEALTHCARE,SCHEDULE VII (I),,1.0,,ALKEM FOUNDATION,1.0,,,MAHARASHTRA (MUMBAI),Medical and Health
397,ALKEM,ALKEM LABORATORIES LTD.,One-time,SUPPORT TO COVID-19 CARE CENTRE,HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,8.0,,ALKEM FOUNDATION,8.0,,,SIKKIM (SOUTH SIKKIM),Medical and Health
398,ALKEM,ALKEM LABORATORIES LTD.,One-time,EYE CATARACT CAMP AT BUXAR,HEALTHCARE,SCHEDULE VII (I),,2.0,,ALKEM FOUNDATION,2.0,,,BIHAR (BUXAR),Medical and Health
399,ALKEM,ALKEM LABORATORIES LTD.,One-time,DONATION OF DEEP FREEZER FOR GOVT. COVID-19 LAB,HEALTHCARE,SCHEDULE VII (I),,2.0,,ALKEM FOUNDATION,2.0,,,HIMACHAL PRADESH (BADDI),Medical and Health
400,ALKEM,ALKEM LABORATORIES LTD.,One-time,OXYGEN CONCENTRATORS TO GOVT. HOSPITAL,HEALTHCARE,SCHEDULE VII (I),,6.0,,ALKEM FOUNDATION,6.0,,,MADHYA PRADESH (INDORE),Medical and Health
405,ALKEM,ALKEM LABORATORIES LTD.,One-time,EQUIPMENTS FOR GOVT. HOSPITALS I.E. DESKTOP & XRAY MACHINE,HEALTHCARE,SCHEDULE VII (I),,3.0,,ALKEM FOUNDATION,3.0,,,SIKKIM (EAST SIKKIM),Medical and Health
408,ALKEM,ALKEM LABORATORIES LTD.,One-time,RATION KITS FOR ECONOMICALLY DEPRIVED INDIVIDUALS,HEALTHCARE,SCHEDULE VII (I),,,,ALKEM FOUNDATION,,,,MAHARASHTRA (RAIGAD),Medical and Health
412,ALKEM,ALKEM LABORATORIES LTD.,One-time,NUTRITION PROGRAM AT PAN INDIA,HEALTHCARE,SCHEDULE VII (I),,5.0,,ALKEM FOUNDATION,5.0,,,ALL STATES,Medical and Health
413,ALKEM,ALKEM LABORATORIES LTD.,One-time,MID-DAY MEAL PROGRAM AT NAVI MUMBAI,HEALTHCARE,SCHEDULE VII (I),,1.0,,ALKEM FOUNDATION,1.0,,,MAHARASHTRA (NAVI MUMBAI),Medical and Health
414,ALKEM,ALKEM LABORATORIES LTD.,One-time,RUNNING OF HEALTH CENTER & MOBILE HEALTH UNIT,HEALTHCARE,SCHEDULE VII (I),,26.0,,ALKEM FOUNDATION,26.0,,,HIMACHAL PRADESH (BADDI),Medical and Health
415,ALKEM,ALKEM LABORATORIES LTD.,One-time,RUNNING OF HEALTH CENTER & MOBILE HEALTH UNIT,HEALTHCARE,SCHEDULE VII (I),,15.0,,ALKEM FOUNDATION,15.0,,,SIKKIM (SOUTH SIKKIM),Medical and Health
420,ALKEM,ALKEM LABORATORIES LTD.,One-time,MILAN OLD AGE HOME CONSTRUCTION,RURAL DEVELOPMENT,"SCHEDULE VII (III), SCHEDULE VII (X)",,80.0,,ALKEM FOUNDATION,80.0,,,MAHARASHTRA (RATNAGIRI),Medical and Health
421,ALKEM,ALKEM LABORATORIES LTD.,One-time,MILLIONS OF FRUIT TREES PLANTATION IN MARATHWADA,ENVIRONMENT,SCHEDULE VII (IV),,25.0,,ALKEM FOUNDATION,25.0,,,MAHARASHTRA (MARATHWADA),Medical and Health
422,ALKEM,ALKEM LABORATORIES LTD.,One-time,OXYGEN CONCENTRATORS TO GOVT. HOSPITAL,HEALTHCARE,SCHEDULE VII (I),,1.0,,ALKEM FOUNDATION,1.0,,,JHARKHAND (RANCHI),Medical and Health
425,ALKEM,ALKEM LABORATORIES LTD.,One-time,MASK AND SANITIZERS,HEALTHCARE,SCHEDULE VII (I),,,,ALKEM FOUNDATION,,,,MAHARASHTRA (MUMBAI),Medical and Health
426,ALKEM,ALKEM LABORATORIES LTD.,One-time,OXYGEN CYLINDERS TO GOVT. HOSPITAL HEALTHCARE,HEALTHCARE,SCHEDULE VII (I),,21.0,,ALKEM FOUNDATION,21.0,,,"DADRA & NAGAR HAVELI AND DAMAN & DIU (DAMAN,SILVASSA),MAHARASHTRA",Medical and Health
427,ALKEM,ALKEM LABORATORIES LTD.,One-time,SUPPORT FOR BLOOD DONATION CAMP (PROVISION OF HELMETS FOR BLOOD DONORS),HEALTHCARE,SCHEDULE VII (I),,1.0,,ALKEM FOUNDATION,1.0,,,SIKKIM,Medical and Health
428,ALKEM,ALKEM LABORATORIES LTD.,One-time,SUPPORT TO HP DISASTER MANAGEMENT FOR COVID-19 PROJECT,HEALTHCARE,SCHEDULE VII (I),,20.0,,,20.0,,,HIMACHAL PRADESH (BADDI),Medical and Health
430,ALKEM,ALKEM LABORATORIES LTD.,One-time,RUNNING OF HEALTH CENTER & MOBILE HEALTH UNIT,HEALTHCARE,SCHEDULE VII (I),,14.0,,ALKEM FOUNDATION,14.0,,,MADHYA PRADESH (INDORE),Medical and Health
431,ALKEM,ALKEM LABORATORIES LTD.,One-time,PROVISION OF RATION & OTHER MATERIALS FOR INDIVIDUALS RESIDING IN OLD AGE HOME AND ORPHANAGE CENTRE PROJECT,HEALTHCARE,SCHEDULE VII (I),,9.0,,ALKEM FOUNDATION,9.0,,,"SIKKIM (EAST SIKKIM,SOUTH SIKKIM)",Medical and Health
435,ALKEM,ALKEM LABORATORIES LTD.,One-time,OXYGEN CYLINDERS TO GOVT. HOSPITAL,HEALTHCARE,SCHEDULE VII (I),,14.0,,ALKEM FOUNDATION,14.0,,,SIKKIM,Medical and Health
436,ALKEM,ALKEM LABORATORIES LTD.,One-time,WATER BORNE DISEASES AWARENESS CAMPS,HEALTHCARE,SCHEDULE VII (I),,40.0,,ALKEM FOUNDATION,40.0,,,"BIHAR,UTTAR PRADESH (AMETHI,BADAUN,GAZIABAD,GONDA,LUCKNOW,MEERUT,VARANASI)",Medical and Health
